ABBOTT Tony,21/03/2013,Canberra,Melbourne,$325.94,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,18/03/2013,Sydney,Canberra,$249.17,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,16/03/2013,Sydney,Melbourne,$599.01,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,15/03/2013,Canberra,Sydney,$249.17,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,15/03/2013,Melbourne,Canberra,$509.50,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,14/03/2013,Canberra,Melbourne,$509.50,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,10/03/2013,Sydney,Canberra,$249.17,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,08/03/2013,Melbourne,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,06/03/2013,Adelaide,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,05/03/2013,Melbourne,Adelaide,"$1,944.10",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,04/03/2013,Sydney,Canberra,$753.13,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,01/03/2013,Brisbane,Sydney,$467.06,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,28/02/2013,Sydney,Brisbane,$648.96,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,28/02/2013,Melbourne,Canberra,$750.77,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,28/02/2013,Canberra,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,27/02/2013,Cairns,Melbourne,$344.55,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,27/02/2013,Rockhampton,Brisbane,$890.78,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,27/02/2013,Brisbane,Melbourne,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,26/02/2013,Townsville,Rockhampton,$429.25,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,25/02/2013,Cairns,Townsville,$314.37,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,24/02/2013,Sydney,Cairns,"$1,136.26",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,21/02/2013,Melbourne,Sydney,$599.01,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,19/02/2013,Sydney,Melbourne,$465.75,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
